id;class;length;entry_time;exit_time;entry_detector;exit_detector;entry_speed;exit_speed;d_from_road_start; 
676;Car;5.0;0.0;10.2;d4_1;d4_1;0.0;5.4;54.5; 
688;Car;5.0;0.0;13.0;d4_1;d4_1;0.0;12.7;48.9; 
698;Motorcycle;2.5;0.0;42.4;d1_4;d4_1;0.2;14.7;14.4; 
817;Car;5.0;0.0;15.4;d4_1;d4_1;0.0;15.3;43.7; 
820;Car;5.0;0.0;21.4;d4_1;d4_1;0.0;20.4;28.4; 
837;Car;5.0;0.0;17.6;d4_1;d4_1;0.0;17.2;34.3; 
913;Motorcycle;2.5;0.0;23.6;d3_0;d3_0;0.0;0.0;26.7; 
942;Taxi;5.0;0.0;13.6;d1_2;d3_2;5.2;39.5;25.9; 
950;Taxi;5.0;0.0;24.4;d1_4;d3_3;5.6;29.7;24.8; 
953;Car;5.0;0.0;15.8;d1_3;d3_2;3.6;34.7;26.4; 
965;Taxi;5.0;0.0;55.4;d1_4;d4_1;0.0;10.1;9.2; 
966;Car;5.0;0.0;26.4;d1_3;d3_3;0.3;33.0;17.8; 
969;Car;5.0;0.0;11.2;d1_1;d3_1;5.9;39.2;26.5; 
974;Car;5.0;0.0;14.8;d1_2;d3_1;0.7;41.5;18.0; 
977;Car;5.0;0.0;9.0;d1_0;d3_0;7.3;41.1;28.5; 
980;Motorcycle;2.5;0.0;7.0;d1_1;d3_0;13.5;39.6;34.5; 
985;Taxi;5.0;0.0;17.8;d1_2;d3_2;0.0;35.1;9.7; 
986;Car;5.0;0.0;13.0;d1_1;d3_1;2.5;38.2;18.3; 
988;Car;5.0;0.0;49.2;d1_4;d4_1;3.0;9.6;17.8; 
989;Motorcycle;2.5;0.0;3.6;d3_0;d3_0;34.7;46.4;6.0; 
991;Motorcycle;2.5;0.0;10.6;d1_3;d3_2;12.4;48.9;35.1; 
993;Motorcycle;2.5;0.0;6.6;d1_1;d3_1;13.3;45.0;32.1; 
1057;Motorcycle;2.5;0.0;6.8;d1_1;d3_1;37.7;54.5;8.5; 
567;Car;5.0;0.0;29.4;d4_0;d4_1;0.0;23.8;11.0; 
602;Taxi;5.0;0.0;41.2;d4_0;d4_1;0.0;15.3;5.5; 
603;Car;5.0;0.0;27.6;d4_1;d4_1;0.0;23.5;14.5; 
650;Taxi;5.0;0.0;26.0;d4_0;d4_1;0.0;25.3;16.1; 
679;Heavy;12.5;0.0;35.2;d4_0;d4_1;0.0;18.5;3.4; 
700;Car;5.0;0.0;39.2;d4_0;d4_1;1.4;14.6;6.7; 
704;Heavy;12.5;0.0;23.8;d4_1;d4_1;0.0;24.9;23.4; 
728;Taxi;5.0;0.0;22.6;d3_0;d3_4;0.7;23.3;1.9; 
777;Taxi;5.0;0.0;32.2;d4_1;d4_1;2.6;26.9;7.0; 
889;Motorcycle;2.5;0.0;14.0;d4_0;d4_1;9.5;17.8;2.2; 
963;Car;5.0;0.0;76.4;d2_0;d4_1;0.0;22.3;41.6; 
981;Taxi;5.0;0.0;70.4;d2_0;d3_4;6.9;25.4;29.3; 
1000;Taxi;5.0;0.0;0.4;d3_4;d3_4;22.3;21.9;35.6; 
1064;Motorcycle;2.5;0.4;6.4;d1_0;d3_0;46.9;65.4;0.0; 
1030;Motorcycle;2.5;0.6;9.2;d1_1;d3_1;21.9;53.2;0.0; 
1028;Motorcycle;2.5;2.0;11.2;d1_0;d3_0;31.0;36.7;0.0; 
936;Taxi;5.0;3.2;27.8;d1_3;d3_2;11.8;40.0;0.0; 
1071;Motorcycle;2.5;3.4;9.4;d1_0;d3_0;47.9;59.7;0.0; 
946;Car;5.0;5.2;14.0;d1_0;d3_0;32.6;41.4;0.0; 
959;Medium;5.83;5.6;16.6;d1_1;d3_1;26.5;36.4;0.0; 
1036;Taxi;5.0;6.8;78.8;d2_1;d4_1;27.4;20.5;0.0; 
975;Taxi;5.0;7.2;19.0;d1_2;d3_2;23.6;37.1;0.0; 
1041;Car;5.0;7.4;16.4;d1_0;d3_0;30.6;42.9;0.0; 
1062;Car;5.0;7.6;18.0;d1_1;d3_1;28.8;36.5;0.0; 
