id;entry_time;exit_time;entry_speed;exit_speed;entry_detector;exit_detector;travel_time
337;0.10;19.61;1.62;51.84;d1_3;d3_3;21.00
100;0.28;1.06;20.016;26.172;d4_1;d4_1;7.60
381;1.14;11.01;46.908;48.924;d1_0;d3_0;13.10
376;1.40;15.56;21.168;52.236;d1_2;d3_2;17.70
319;1.86;13.19;30.564;46.152;d1_1;d3_1;14.80
348;2.47;2.85;46.548;46.583999999999996;d3_1;d3_1;5.00
351;2.82;3.01;42.408;42.948;d4_1;d4_1;8.80
421;3.06;13.53;46.080000000000005;46.224000000000004;d1_0;d3_0;13.70
287;3.41;69.17;41.004000000000005;66.384;d2_1;d4_1;73.20
418;3.98;16.52;28.980000000000004;57.492000000000004;d1_2;d3_2;15.70
380;4.22;14.81;40.248;46.296;d1_1;d3_1;13.70
395;4.43;4.89;38.304;39.564;d4_1;d4_1;9.10
369;4.52;71.73;46.548;59.25600000000001;d2_0;d4_1;76.10
427;5.30;15.92;47.196;46.548;d1_0;d3_0;13.50
87;5.39;5.93;30.96;35.496;d4_0;d4_0;11.70
310;6.09;70.26;48.456;68.36399999999999;d2_0;d4_1;73.10
353;6.39;18.98;30.384;48.132;d1_2;d3_2;15.90
331;6.84;18.28;38.952000000000005;43.344;d1_1;d3_1;14.80
433;7.03;17.86;45.75600000000001;45.648;d1_0;d3_0;13.90
364;7.12;7.58;37.080000000000005;40.068000000000005;d4_1;d4_1;13.00
423;8.46;20.59;31.572;48.456;d1_2;d3_1;15.40
156;8.53;9.10;29.916000000000004;33.480000000000004;d4_1;d4_1;8.20
366;8.89;9.22;54.036;53.856;d3_1;d3_1;11.10
445;8.96;19.94;48.492000000000004;43.848;d1_1;d3_0;13.90
455;9.46;20.18;36.504000000000005;61.56000000000001;d1_0;d3_0;13.30
357;9.44;21.24;27.288;53.064;d1_3;d3_3;15.00
372;10.80;11.15;50.580000000000005;50.616;d3_1;d3_1;13.20
473;10.89;21.34;50.436;46.62;d1_1;d3_0;13.30
379;10.80;22.14;33.984;48.384;d1_2;d3_2;14.30
326;11.63;70.73;49.104000000000006;47.448;d2_0;d3_4;66.10
367;11.85;22.83;33.696;49.608;d1_3;d3_3;14.30
448;12.44;23.43;37.872;48.276;d1_0;d3_0;14.00
439;12.61;23.66;37.116;50.616;d1_2;d3_1;14.10
450;13.19;24.96;29.880000000000003;48.24;d1_1;d3_1;14.80
350;13.27;14.06;53.388;55.836;d3_2;d3_2;15.40
323;13.50;14.28;53.316;56.16;d3_3;d3_3;15.60
480;13.67;23.61;29.916000000000004;54.864000000000004;d1_3;d3_2;13.00
443;14.34;26.53;44.784;47.268;d1_0;d3_0;15.00
375;14.52;72.92;52.56;62.496;d2_1;d4_1;67.60
373;14.67;14.98;55.512;57.815999999999995;d4_1;d4_1;19.90
452;14.77;25.04;47.052;47.988;d1_2;d3_2;13.40
459;15.44;27.99;35.172;51.192;d1_0;d3_0;15.60
440;15.62;28.85;37.764;61.272;d1_4;d4_1;18.50
431;15.77;27.55;29.556000000000004;45.0;d1_3;d3_2;15.40
463;15.83;26.52;40.968;48.6;d1_1;d3_1;13.70
534;16.81;28.96;32.04;44.46;d1_2;d3_2;15.20
488;17.03;31.49;37.908;60.40800000000001;d1_4;d4_1;19.80
501;17.36;28.07;43.164;48.492000000000004;d1_1;d3_1;13.60
487;18.87;34.52;36.324;60.732000000000006;d1_4;d4_1;21.50
510;18.85;29.50;44.1;50.472;d1_0;d3_0;13.50
471;19.57;31.35;38.088;43.56;d1_2;d3_2;15.10
522;19.88;29.65;54.072;51.84;d1_1;d3_1;12.30
508;20.81;31.43;46.080000000000005;46.692;d1_0;d3_0;13.60
496;21.11;32.98;36.936;43.488;d1_2;d3_2;15.00
542;21.43;31.05;49.931999999999995;50.76;d1_1;d3_1;12.60
474;21.68;31.75;35.1;67.75200000000001;d1_3;d3_3;12.30
553;22.63;32.83;50.328;46.656000000000006;d1_0;d3_0;13.20
517;23.08;33.58;41.688;54.612;d1_2;d3_1;13.20
560;23.34;36.47;30.204000000000004;50.148;d1_1;d3_1;16.20
493;24.49;33.67;43.56;55.836;d1_3;d3_3;11.90
538;24.95;35.17;50.25600000000001;50.04;d1_0;d3_0;13.00
438;24.97;73.24;51.66;70.92;d2_0;d4_0;57.30
525;25.09;35.16;46.368;51.876000000000005;d1_2;d3_1;12.80
486;25.30;35.54;23.904;50.364000000000004;d1_4;d3_3;14.00
492;26.55;36.70;49.824;49.968;d1_0;d3_0;12.90
502;26.63;36.80;43.74;49.032;d1_2;d3_1;13.30
513;27.18;41.34;35.856;59.076;d1_4;d4_1;19.70
441;28.10;75.29;40.356;67.392;d2_0;d4_1;56.70
527;28.81;38.17;59.04;48.96;d1_2;d3_2;12.10
559;29.49;40.07;43.092000000000006;47.772;d1_1;d3_1;13.40
503;30.60;41.60;43.344;46.908;d1_2;d3_2;13.80
582;31.28;40.12;56.052;55.943999999999996;d1_0;d3_0;11.40
573;31.30;43.38;26.604;50.652;d1_1;d3_1;15.20
556;32.13;42.58;36.036;48.456;d1_3;d3_3;13.70
588;32.62;42.02;52.668000000000006;52.524;d1_0;d3_0;12.10
568;33.00;43.43;47.448;47.772;d1_2;d3_2;13.40
589;34.21;43.60;52.488;52.776;d1_0;d3_0;12.00
520;34.33;44.99;44.316;47.519999999999996;d1_2;d3_2;13.60
437;34.55;74.08;50.868;65.01599999999999;d2_1;d4_1;49.30
547;35.71;46.31;41.976;48.132;d1_3;d3_3;13.80
554;36.08;45.05;54.396;54.108;d1_1;d3_1;11.70
580;37.31;48.75;34.344;44.532;d1_2;d3_2;14.60
601;37.66;50.23;30.348;49.968;d1_3;d3_2;15.60
447;37.76;78.02;37.943999999999996;60.624;d2_0;d4_1;50.60
597;37.73;47.77;45.972;49.572;d1_1;d3_1;12.90
607;38.27;46.92;57.384;57.132;d1_0;d3_0;11.10
593;39.17;52.04;21.636;48.132;d1_2;d3_1;16.40
625;39.78;48.50;55.512;55.512;d1_0;d3_0;11.40
600;40.25;52.92;19.332;48.132;d1_1;d3_1;16.90
549;40.29;51.51;39.42;50.328;d1_3;d3_2;14.30
605;41.93;52.83;42.624;49.428000000000004;d1_3;d3_3;14.00
609;42.50;54.75;31.068000000000005;41.580000000000005;d1_2;d3_2;15.90
618;43.46;51.90;57.63600000000001;57.528000000000006;d1_0;d3_0;11.10
612;43.94;54.30;37.800000000000004;48.528000000000006;d1_1;d3_1;13.60
624;43.92;56.12;27.936;41.184;d1_3;d3_3;15.90
530;44.82;58.73;18.215999999999998;51.876000000000005;d1_2;d3_1;17.50
598;45.83;56.55;43.272;54.684;d1_3;d3_1;13.60
634;45.95;60.26;38.772;47.412;d1_1;d3_1;17.40
458;46.20;76.43;38.412;69.912;d2_0;d4_1;40.90
561;47.33;57.84;42.732;48.384;d1_3;d3_3;13.70
627;47.53;62.27;30.743999999999996;60.156000000000006;d1_4;d4_1;20.60
621;47.56;60.13;33.804;46.583999999999996;d1_2;d3_3;15.60
39;48.70;76.86;23.616;52.38;d2_0;d3_4;37.00
637;49.91;61.85;34.704;47.88;d1_2;d3_1;15.00
633;50.13;50.49;20.952;20.268;d1_1;d1_1;
648;50.93;60.54;51.336;51.516000000000005;d1_0;d3_0;12.30
646;51.33;51.82;35.316;38.664;d1_4;d1_4;7.90
644;52.12;52.33;37.943999999999996;36.684;d1_2;d1_2;
652;52.36;62.07;49.896;51.443999999999996;d1_0;d3_0;12.40
512;53.20;79.20;37.296;64.08;d2_1;d4_1;35.90
664;53.80;54.22;40.824;44.352000000000004;d1_0;d1_0;7.30
626;54.31;54.77;39.456;38.952000000000005;d1_1;d1_1;
662;54.51;54.98;36.792;39.456;d1_2;d1_2;
674;56.03;56.48;39.852000000000004;40.644;d1_1;d1_1;
543;56.33;56.72;46.368;46.224000000000004;d1_2;d1_2;
563;57.66;78.15;20.664;87.01200000000001;d2_0;d4_0;28.90
620;57.77;58.19;42.516000000000005;42.984;d1_1;d1_1;
675;58.16;58.69;32.076;35.748;d1_0;d1_0;8.00
611;58.11;58.55;42.048;39.24;d1_2;d1_2;
676;58.57;59.12;30.276;35.172;d1_4;d1_4;7.90
682;59.38;78.82;20.484;58.644;d2_0;d3_4;26.00
678;59.37;60.01;29.195999999999998;26.568;d1_2;d1_2;
630;59.98;60.58;28.476000000000003;29.916000000000004;d1_1;d1_1;
688;61.57;62.18;26.604;30.996;d1_3;d1_3;8.60
680;62.70;63.28;29.880000000000003;31.680000000000003;d1_2;d1_2;
642;63.89;64.36;39.996;36.828;d1_1;d1_1;
79;64.93;65.58;25.452;29.592000000000002;d1_3;d1_3;8.80
687;64.92;65.58;25.92;27.503999999999998;d1_2;d1_2;
301;66.39;66.77;45.54;48.132;d3_0;d3_0;68.70
640;68.51;68.89;48.564;45.828;d1_1;d1_1;
677;69.27;69.54;32.868;30.096;d1_0;d1_0;
551;70.65;82.26;35.316;47.016000000000005;d2_0;d3_4;21.80
690;72.55;73.16;27.720000000000002;31.680000000000003;d1_0;d1_0;
472;73.25;84.43;43.668000000000006;74.196;d2_0;d4_0;20.20
466;75.59;85.54;47.592000000000006;79.956;d2_0;d4_1;18.90
590;76.53;83.66;51.372;85.14;d2_1;d4_1;15.80
518;78.12;86.71;53.028000000000006;76.75200000000001;d2_0;d4_0;
732;79.58;88.55;48.132;51.048;d2_0;d3_4;
704;81.43;82.06;39.276;41.544;d2_1;d2_1;10.70
650;81.78;82.13;50.544;51.336;d2_0;d2_0;8.80
592;83.18;83.37;41.544;42.804;d2_1;d2_1;9.60
685;83.20;83.36;50.25600000000001;51.264;d2_0;d2_0;8.20
567;85.05;85.45;44.424;46.224000000000004;d2_0;d2_0;8.40
54;88.10;88.43;51.768;54.792;d2_1;d2_1;
766;88.84;88.99;50.436;51.552;d1_3;d1_3;
683;89.04;89.22;41.76;45.36;d1_4;d1_4;
