id;entry_time;exit_time;entry_speed;exit_speed;entry_detector;exit_detector;travel_time
1000;0.10;0.30;23.616;26.1;d3_4;d3_4;2.70
985;0.37;15.53;6.84;74.376;d1_2;d3_2;16.80
965;1.04;18.10;3.8160000000000003;49.716;d1_4;d4_1;22.50
676;1.01;1.81;17.244;28.980000000000004;d4_1;d4_1;6.80
963;1.63;69.37;26.028000000000002;92.988;d2_0;d4_1;72.20
913;2.07;2.44;19.764000000000003;23.184;d3_0;d3_0;5.50
1030;2.74;11.22;25.452;84.16799999999999;d1_1;d3_1;11.50
817;2.78;3.26;33.588;40.068000000000005;d4_1;d4_1;7.80
1028;3.03;10.08;41.184;84.528;d1_0;d3_0;9.40
981;3.60;68.54;37.728;76.968;d2_0;d3_4;69.60
820;4.26;4.62;46.656000000000006;51.912;d4_1;d4_1;8.70
989;4.52;4.67;50.292;51.516000000000005;d3_0;d3_0;4.50
728;4.66;5.30;29.952;21.672;d3_1;d3_1;12.00
1057;4.67;12.51;37.980000000000004;80.13600000000001;d1_1;d3_1;9.30
1064;4.76;11.42;51.948;82.44;d1_0;d3_0;8.80
936;4.87;17.31;27.468;82.188;d1_3;d3_2;15.30
567;5.53;5.83;57.024;61.056000000000004;d4_1;d4_1;9.60
603;5.53;5.84;56.34;60.01200000000001;d4_1;d4_1;9.60
1071;5.94;12.71;53.28;78.48;d1_0;d3_0;8.90
946;6.55;13.91;46.62;81.288;d1_0;d3_0;9.50
959;6.79;15.90;34.668000000000006;77.976;d1_1;d3_1;11.60
777;7.16;7.44;62.06399999999999;65.16000000000001;d4_1;d4_1;10.40
950;7.58;7.79;85.212;85.03200000000001;d3_3;d3_3;9.00
977;7.78;7.98;89.028;89.172;d3_0;d3_0;9.10
980;7.95;8.05;80.748;81.396;d3_0;d3_0;9.40
679;8.21;8.74;46.26;50.616;d4_1;d4_1;12.70
1041;8.40;15.28;43.632;94.68;d1_0;d3_0;8.90
975;8.44;19.05;30.528000000000002;89.20800000000001;d1_2;d3_2;12.90
969;8.55;8.75;90.68400000000001;93.924;d3_1;d3_1;9.80
1062;8.61;17.21;44.568000000000005;76.248;d1_1;d3_1;10.80
966;9.28;9.48;88.632;90.108;d3_3;d3_3;10.60
986;9.56;9.75;92.304;92.628;d3_1;d3_1;10.60
991;10.09;10.26;43.704;45.216;d3_2;d3_2;12.30
704;10.27;10.74;52.56;57.6;d4_1;d4_1;9.30
1036;10.57;75.18;45.972;72.396;d2_1;d4_1;71.90
1076;11.14;19.13;36.684;92.592;d1_1;d3_1;10.20
953;11.35;11.75;42.408;48.348;d3_2;d3_2;13.50
650;11.60;11.99;44.316;47.268;d4_1;d4_1;11.50
1085;11.86;18.28;47.268;93.16799999999999;d1_0;d3_0;8.50
1039;11.99;20.22;37.764;96.66000000000001;d1_2;d3_2;10.50
1077;13.10;20.91;39.636;80.82;d1_1;d3_1;10.20
1087;13.24;19.80;48.456;91.692;d1_0;d3_0;8.60
942;13.40;13.70;59.904;62.13600000000001;d3_2;d3_2;15.10
602;13.60;13.97;47.952000000000005;48.6;d4_1;d4_1;13.10
1043;13.82;21.31;38.916000000000004;92.916;d1_2;d3_2;9.80
974;13.96;14.17;84.924;87.66000000000001;d3_1;d3_1;11.50
698;15.25;15.42;47.952000000000005;49.212;d4_1;d4_1;20.10
992;15.73;22.57;36.828;93.06;d1_3;d3_2;9.30
1097;15.80;22.05;49.968;98.64;d1_0;d3_0;8.20
1090;15.76;22.51;44.928000000000004;86.90400000000001;d1_1;d3_1;8.80
700;16.56;16.80;63.504000000000005;66.20400000000001;d4_0;d4_0;9.30
1047;17.34;72.84;46.476;78.876;d2_1;d4_1;62.70
1054;18.48;26.24;34.632;74.124;d1_2;d3_2;10.30
1104;18.76;27.04;38.664;87.624;d1_1;d3_1;10.40
1084;19.18;73.61;46.512;78.372;d2_0;d4_1;62.10
1142;19.21;25.29;64.476;83.55600000000001;d1_0;d3_0;8.10
988;19.26;19.57;56.484;59.364;d4_1;d4_1;18.70
1117;19.80;26.50;52.848;78.732;d1_0;d3_0;8.70
1051;20.08;77.47;31.932;79.2;d2_1;d4_1;65.30
889;20.44;20.60;50.04;50.904;d4_1;d4_1;11.50
1108;21.67;29.23;45.864000000000004;75.852;d1_1;d3_1;9.80
1131;22.24;28.38;51.192;94.572;d1_0;d3_0;8.10
837;22.37;22.73;47.16;52.956;d4_1;d4_1;7.60
